       3	^_^
     404	^^_^
     353	^^_^$
     252	T_T
     731	0_0
    1878	\^o^
   82960	\o/
      96	*\o/*
       0	<_<
    3696	^^
    1977	T.T
     152	(o^^o)
      10	p(^_^)q
     127	(-_-)
      55	~_~
      15	=_=
    1317	<3
     436	>_<
      70	\^3^
    1027	:P
       6	>3<
     336	;-3
       9	8-)
       1	:-}
      57	:}
     271	:o
      83	:c
      13	:^
     124	=]
       0	B^D
       4	>_>
     343	:@
    1588	=)
      29	+_+
      49	(^_^)v
     846	:-)
       4	:-]
       3	:-3
   16278	:)
     286	:]
   91723	:3
       1	:->
      45	:>
     391	8)
       4	:^)
     139	:-D
    6500	:D
       9	(@_@)
      49	OTL
      15	x-D
    1158	xD
     735	=3
       1	:-c
      83	:c
       1	:-<
      12	:<
      30	v_v
     357	(>_<)
     138	(^_^;)
      19	:{
    1793	(*^o^*)
       7	>:(
       1	D:<
     726	D:
    6474	D8
      33	D;
     661	DX
       2	:-o
       2	>:o
 1431349	:-*
     336	;-)
       0	;-]
    6500	:))
      35	(-_-;)
       0	O:-3
       1	}:-)
       1	3:-)
       0	l;-)
      17	OTZ
       2	(#^_^#)
